case_id,experiment,scenario,dataset,algorithm,value_quantifier,method_variant,reference_group,seed,artificial_low_count,interaction_order,equivalent_mc_paths,feature_subset_count,feature_subset_seed,contribution_threshold,threshold_mode,relative_threshold_factor,effective_contribution_threshold,runtime_seconds,mode,high_group_count,low_group_count,group_checks,triggered_coalition_audits,coalition_evaluation_requests,unique_value_evaluations,actual_value_function_calls,total_marginal_samples,marginal_sample_reduction_vs_mc,request_reduction_vs_mc,known_low_capture_ratio,candidate_low_screening_ratio,reference_case_id,reference_algorithm,all_nmae,all_rmse,spearman,high_nmae,high_rmse,high_recall,high_precision,low_recall,low_precision,tail_total_abs_error,true_high_count,true_low_count,mean_true_high_samples,mean_true_low_samples,low_to_high_sampling_ratio,artificial_reference_low_rate,verified_artificial_low_recall,max_estimated_certified_low_contribution
g1_synthetic_general__balanced_interaction__synthetic__low0__seed23__mc__b100__8ae156ec94e6,g1_synthetic_general,balanced_interaction,synthetic,mc,dataset_default,default,balanced_interaction_low0_order0,23,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.006971400000111316,,,,,,1200,758,758,1200,0.0,0.0,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,0.0011000000000000038,0.0015346009253222777,0.0,0.0011000000000000038,0.0015346009253222777,1.0,1.0,1.0,1.0,0,12,0,100.0,,,,,
g1_synthetic_general__balanced_interaction__synthetic__low0__seed23__stratified__b100__2b2ae7b8370e,g1_synthetic_general,balanced_interaction,synthetic,stratified,dataset_default,default,balanced_interaction_low0_order0,23,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.007156300000133342,,,,,,1202,738,738,600,0.5,-0.0016666666666667052,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,0.0015969802555168614,0.0019237960221180168,0.0,0.0015969802555168614,0.0019237960221180168,1.0,1.0,1.0,1.0,0,12,0,50.0,,,,,
g1_synthetic_general__balanced_interaction__synthetic__low0__seed23__tmc__b100__be1f6e7df5fc,g1_synthetic_general,balanced_interaction,synthetic,tmc,dataset_default,default,balanced_interaction_low0_order0,23,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.004842800000915304,,,,,,1202,758,758,1200,0.0,-0.0016666666666667052,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,0.0011000000000000038,0.0015346009253222777,0.0,0.0011000000000000038,0.0015346009253222777,1.0,1.0,1.0,1.0,0,12,0,100.0,,,,,
g1_synthetic_general__balanced_interaction__synthetic__low0__seed42__antithetic_mc__b100__68c6280a2ab7,g1_synthetic_general,balanced_interaction,synthetic,antithetic_mc,dataset_default,default,balanced_interaction_low0_order0,42,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.004645000000891741,,,,,,1200,752,752,1200,0.0,0.0,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,4.5102810375396984e-17,7.505561329662603e-17,0.0,4.5102810375396984e-17,7.505561329662603e-17,1.0,1.0,1.0,1.0,0,12,0,100.0,,,,,
g1_synthetic_general__balanced_interaction__synthetic__low0__seed42__dtg_shapley__b100__9e901c96df49,g1_synthetic_general,balanced_interaction,synthetic,dtg_shapley,dataset_default,default,balanced_interaction_low0_order0,42,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.013076999999611871,uniform_mc_natural_fallback,12,0,24,0,1202,752,752,1200,0.0,0.0,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,4.5102810375396984e-17,7.505561329662603e-17,0.0,4.5102810375396984e-17,7.505561329662603e-17,1.0,1.0,1.0,1.0,0,12,0,100.0,,,,,
g1_synthetic_general__balanced_interaction__synthetic__low0__seed42__kernel_shap__b100__d82f2eabeaa4,g1_synthetic_general,balanced_interaction,synthetic,kernel_shap,dataset_default,default,balanced_interaction_low0_order0,42,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.019146799999361974,,,,,,1202,801,801,,,-0.0016666666666667052,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,0.0039727789164253685,0.00463788329193545,0.0,0.0039727789164253685,0.00463788329193545,1.0,1.0,1.0,1.0,0,12,0,,,,,,
g1_synthetic_general__balanced_interaction__synthetic__low0__seed42__mc__b100__252fde8269fd,g1_synthetic_general,balanced_interaction,synthetic,mc,dataset_default,default,balanced_interaction_low0_order0,42,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.0067216999996162485,,,,,,1200,756,756,1200,0.0,0.0,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,0.0023499999999999806,0.0027331300737432713,0.0,0.0023499999999999806,0.0027331300737432713,1.0,1.0,1.0,1.0,0,12,0,100.0,,,,,
g1_synthetic_general__balanced_interaction__synthetic__low0__seed42__stratified__b100__d6853983add3,g1_synthetic_general,balanced_interaction,synthetic,stratified,dataset_default,default,balanced_interaction_low0_order0,42,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.006978399998843088,,,,,,1202,737,737,600,0.5,-0.0016666666666667052,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,0.002077905967001603,0.0022758985657902763,0.0,0.002077905967001603,0.0022758985657902763,1.0,1.0,1.0,1.0,0,12,0,50.0,,,,,
g1_synthetic_general__balanced_interaction__synthetic__low0__seed42__tmc__b100__6d4637e5cbf1,g1_synthetic_general,balanced_interaction,synthetic,tmc,dataset_default,default,balanced_interaction_low0_order0,42,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.0050302999989071395,,,,,,1202,756,756,1200,0.0,-0.0016666666666667052,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,0.0023499999999999806,0.0027331300737432713,0.0,0.0023499999999999806,0.0027331300737432713,1.0,1.0,1.0,1.0,0,12,0,100.0,,,,,
g1_synthetic_general__balanced_interaction__synthetic__low0__seed67__antithetic_mc__b100__708df63baebf,g1_synthetic_general,balanced_interaction,synthetic,antithetic_mc,dataset_default,default,balanced_interaction_low0_order0,67,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.004891500000667293,,,,,,1200,774,774,1200,0.0,0.0,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,8.0953762212251e-18,1.4444459513666495e-17,0.0,8.0953762212251e-18,1.4444459513666495e-17,1.0,1.0,1.0,1.0,0,12,0,100.0,,,,,
