case_id,experiment,scenario,dataset,algorithm,value_quantifier,seed,artificial_low_count,interaction_order,equivalent_mc_paths,feature_subset_count,feature_subset_seed,contribution_threshold,threshold_mode,relative_threshold_factor,effective_contribution_threshold,runtime_seconds,mode,high_group_count,low_group_count,group_checks,triggered_coalition_audits,coalition_evaluation_requests,unique_value_evaluations,actual_value_function_calls,total_marginal_samples,marginal_sample_reduction_vs_mc,request_reduction_vs_mc,known_low_capture_ratio,candidate_low_screening_ratio,reference_case_id,reference_algorithm,all_nmae,all_rmse,spearman,high_nmae,high_rmse,high_recall,high_precision,low_recall,low_precision,tail_total_abs_error,true_high_count,true_low_count,mean_true_high_samples,mean_true_low_samples,low_to_high_sampling_ratio,artificial_reference_low_rate,verified_artificial_low_recall,max_estimated_certified_low_contribution
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc_reference__b600__cedff1063cb1,structured_text_public,documented_or_natural_low_tail,cnae_9,mc_reference,dataset_default,11,0,0,600,50,11,0.04,relative,0.5,0.01,5.575222199986456,,,,,,30000,28021,28021,30000,0.0,0.0,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc_reference__b600__cedff1063cb1,mc_reference,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,8,42,600.0,600.0,1.0,,,0.009435570048090076
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc_reference__b600__e45d1203ce7b,structured_text_public,documented_or_natural_low_tail,cnae_9,mc_reference,mutual_information,11,0,0,600,50,11,0.04,relative,0.5,0.01,192.70358420000412,,,,,,30000,28021,28021,30000,0.0,0.0,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc_reference__b600__e45d1203ce7b,mc_reference,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,12,38,600.0,600.0,1.0,,,0.009243574387265132
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__value_audit__b0__434a3d0e026f,structured_text_public,documented_or_natural_low_tail,cnae_9,value_audit,mutual_information,11,0,0,0,100,11,0.04,relative,0.5,0.005,0.3848928000079468,value_audit,,,,,102,102,102,,,,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc_reference__b600__b359f3a3336d,mc_reference,0.0019438397312363945,0.0044556482062924445,0.8072479053348306,0.00480784977815601,0.007984700767560221,0.8666666666666667,0.9285714285714286,0.9714285714285714,0.9444444444444444,0.017289658143347958,30,70,,,,,,0.004988096453602723
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__value_audit__b0__44377879c2dc,structured_text_public,documented_or_natural_low_tail,cnae_9,value_audit,dataset_default,11,0,0,0,100,11,0.04,relative,0.5,0.005,0.1080258000001777,value_audit,,,,,102,102,102,,,,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc_reference__b600__29975f84843e,mc_reference,0.001461707252855364,0.0047800895104026355,0.7461021000418538,0.005926897065338086,0.010437754227446683,1.0,0.9090909090909091,0.975,1.0,0.02113256253778676,20,80,,,,,,0.0037423092257456033
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__value_audit__b0__5ae30c7e913e,structured_text_public,documented_or_natural_low_tail,cnae_9,value_audit,dataset_default,11,0,0,0,50,11,0.04,relative,0.5,0.01,0.09415729998727329,value_audit,,,,,52,52,52,,,,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc_reference__b600__cedff1063cb1,mc_reference,0.002108139479097066,0.006162795467844146,0.8088367225275627,0.00965266763854657,0.014980883262429997,0.875,0.7777777777777778,0.9523809523809523,0.975609756097561,0.015093953490537423,8,42,,,,,,0.009218184686046514
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__value_audit__b0__ea3c4f575274,structured_text_public,documented_or_natural_low_tail,cnae_9,value_audit,mutual_information,11,0,0,0,50,11,0.04,relative,0.5,0.01,0.27914689999306574,value_audit,,,,,52,52,52,,,,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed11__mc_reference__b600__e45d1203ce7b,mc_reference,0.0025075857457058474,0.006452646595710112,0.9331376193032804,0.008075917540869107,0.013081576236374926,0.9166666666666666,1.0,1.0,0.9743589743589743,0.0010132962058195805,12,38,,,,,,0.009886757435452729
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__dtg_shapley__b100__04b0b3a42765,structured_text_public,documented_or_natural_low_tail,cnae_9,dtg_shapley,dataset_default,23,0,0,100,50,23,0.04,relative,0.5,0.01,0.61388300001272,adaptive_probability_sampling,10,40,24,0,2862,2469,2469,1582,0.6836,0.42800000000000005,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__mc_reference__b600__7f0bef67a364,mc_reference,0.00013381711546081452,0.00039956742705439107,0.9908261572947369,0.0005140825157707753,0.0009162704919750169,1.0,0.9,0.975609756097561,1.0,0.0013742663459903647,9,41,98.88888888888889,16.878048780487806,0.17067689778021378,,,0.00026849540918966045
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__dtg_shapley__b100__41a0d72bf492,structured_text_public,documented_or_natural_low_tail,cnae_9,dtg_shapley,mutual_information,23,0,0,100,100,23,0.04,relative,0.5,0.005,109.52643920003902,uniform_mc_natural_fallback,52,48,24,2,10086,9915,9915,10000,0.0,-0.008399999999999963,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__mc_reference__b600__31a2fc738da9,mc_reference,8.053435808302426e-05,0.00014945609205829305,0.9954995499549955,0.0001071093338147653,0.000174675255230628,1.0,0.8653846153846154,0.8727272727272727,1.0,0.00013940570258619278,45,55,100.0,100.0,1.0,,,0.0035277634605706374
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__dtg_shapley__b100__c06c6038d05c,structured_text_public,documented_or_natural_low_tail,cnae_9,dtg_shapley,dataset_default,23,0,0,100,100,23,0.04,relative,0.5,0.005,1.9350721999944653,adaptive_probability_sampling,26,74,24,3,6606,5629,5629,3654,0.6346,0.3396,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__mc_reference__b600__ba91fa67b5aa,mc_reference,0.0002927395187733066,0.0007868528562221312,0.986678508063952,0.00045352765183227886,0.0006894086514977117,1.0,0.8461538461538461,0.9487179487179487,1.0,0.00866954225951002,22,78,100.0,18.641025641025642,0.18641025641025644,,,0.001767200897164011
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__dtg_shapley__b100__c331d8ba7368,structured_text_public,documented_or_natural_low_tail,cnae_9,dtg_shapley,mutual_information,23,0,0,100,50,23,0.04,relative,0.5,0.01,30.305671000038274,mixed_adaptive_and_natural_fallback,32,18,24,0,5002,4349,4349,3954,0.20920000000000005,0.0,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__mc_reference__b600__36ed06d798d8,mc_reference,0.0007958200151359333,0.001078797884854458,0.8885954381752701,0.0004955200143659414,0.000851243087474528,1.0,0.5625,0.5625,1.0,0.008888704368979844,18,32,100.0,67.3125,0.673125,,,0.00535132337555286
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__mc__b100__06938741f9bb,structured_text_public,documented_or_natural_low_tail,cnae_9,mc,dataset_default,23,0,0,100,50,23,0.04,relative,0.5,0.01,0.9938504000019748,,,,,,5000,4784,4784,5000,0.0,0.0,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__mc_reference__b600__7f0bef67a364,mc_reference,0.0001107175830440261,0.0004615127444129133,0.9920288115246099,0.0005691795149236144,0.0010870460778214202,1.0,1.0,1.0,1.0,0.00016647099822517109,9,41,100.0,100.0,1.0,,,0.00023786543381919324
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__mc__b100__2959d688537e,structured_text_public,documented_or_natural_low_tail,cnae_9,mc,dataset_default,23,0,0,100,100,23,0.04,relative,0.5,0.005,3.2290300999884494,,,,,,10000,9827,9827,10000,0.0,0.0,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__mc_reference__b600__ba91fa67b5aa,mc_reference,0.00017225603020081673,0.00043999032488946436,0.9937863227494325,0.0006801074820938198,0.0009293970760379184,1.0,1.0,1.0,1.0,0.0006019247315076498,22,78,100.0,100.0,1.0,,,0.0013871150963682436
